status,ipAddress,host,request,userAgent,countryCode,sizeBytes,durationSecs,timestamp
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,16.134,2026-09-18T09:22:24.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.196,2026-09-18T09:21:54.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,10.292,2026-09-18T09:21:24.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,7.354,2026-09-18T09:20:54.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.603,2026-09-18T09:20:23.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.087,2026-09-18T09:19:53.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,5.445,2026-09-18T09:19:23.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,3.973,2026-09-18T09:18:53.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,17.185,2026-09-18T09:18:24.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,3.119,2026-09-18T09:17:53.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,5.5,2026-09-18T09:17:23.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,8.281,2026-09-18T09:16:53.000000Z
200,2401:4900:1cb8:e61a:3c5b:8180:9df:6928,operations.octagramai.com,"GET /api/notifications HTTP/1.1","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.6.2 Safari/605.1.15",IN,36,4.076,2026-09-18T09:16:23.000000Z
